lesson_id,lesson_folder,grade,module_name,lesson_title_lt,slide_no,template_type,slide_role,slide_title,slide_subtitle,main_text,left_title,left_text,right_title,right_text,callout_1,callout_2,visual_kind,visual_prompt,must_show,source_refs,notes_for_export
G9-S1-M01-001,"001_L - Ergonomics & healthy computer use",9,Sauga,"Ergonomika ir sveikas kompiuterio naudojimas",1,title,title,"Ergonomika ir sveikas kompiuterio naudojimas",Sauga,,,,,,,,none,,true,"Lesson README: title; Teacher_Plan: title","Center title block cleanly."
G9-S1-M01-001,"001_L - Ergonomics & healthy computer use",9,Sauga,"Ergonomika ir sveikas kompiuterio naudojimas",2,questions,start_questions,"Pamokos pradžios klausimai",,"1. Ar esate patyrę nugaros ar kaklo skausmą po ilgo sėdėjimo? | 2. Kaip jaučiasi akys po ilgo žiūrėjimo į ekraną? | 3. Kaip atrodo taisyklinga sėdėjimo poza prie kompiuterio?",,,,,,"3 klausimai",,none,,true,"Teacher_Plan: start questions","Keep each question short enough for projection."
G9-S1-M01-001,"001_L - Ergonomics & healthy computer use",9,Sauga,"Ergonomika ir sveikas kompiuterio naudojimas",3,comparison,correct_vs_incorrect_setup,"Taisyklinga darbo vieta","Ką pasitikrinti iš karto",,Taisyklinga,"Nugara remiasi į atlošą. | Pėdos remiasi į grindis. | Keliai apie 90 laipsnių kampu. | Ekranas akių lygyje arba šiek tiek žemiau.",Dažnos klaidos,"Pasilenkiama prie ekrano. | Kojos kaba ore. | Pečiai įtempti. | Riešai užlaužti dirbant klaviatūra.","Patikrinkite kėdę ir ekraną",,comparison-cards,"Correct vs incorrect workstation setup",true,"Teacher_Plan: posture, screen, wrist sections","Use two clearly contrasted cards."
G9-S1-M01-001,"001_L - Ergonomics & healthy computer use",9,Sauga,"Ergonomika ir sveikas kompiuterio naudojimas",4,process,eye_breaks_and_rest,"20-20-20 ir pertraukos","Kaip saugoti akis ir kūną",,20-20-20 taisyklė,"Kas 20 minučių 20 sekundžių žiūrėkite į tolį, maždaug 6 metrų atstumu.",Darbo ritmas,"Dirbkite ne ilgiau nei apie valandą be pertraukos. Po to skirkite 5-10 min. poilsiui.","Mirksėkite sąmoningai","Atlikite riešų ir kaklo pratimus",diagram,"Eye break and rest rhythm flow",true,"Teacher_Plan: 20-20-20; work and rest rhythm","Keep numbers large and obvious."
G9-S1-M01-001,"001_L - Ergonomics & healthy computer use",9,Sauga,"Ergonomika ir sveikas kompiuterio naudojimas",5,questions,end_questions,"Pamokos pabaigos klausimai",,"1. Ką darytumėte, jei kojos nesiekia grindų? | 2. Kodėl 20-20-20 taisyklė padeda akims? | 3. Kodėl vien taisyklingos pozos nepakanka be pertraukų?",,,,,,"3 klausimai",,none,,true,"Teacher_Plan: end questions","Avoid shrinking the question text."
G9-S1-M01-002,"002_L - Privacy & account safety",9,Sauga,"Privatumas ir paskyrų sauga",1,title,title,"Privatumas ir paskyrų sauga",Sauga,,,,,,,,none,,true,"Lesson README: title; Teacher_Plan: title","Keep title bold and uncluttered."
G9-S1-M01-002,"002_L - Privacy & account safety",9,Sauga,"Privatumas ir paskyrų sauga",2,questions,start_questions,"Pamokos pradžios klausimai",,"1. Koks yra rekomenduojamas atstumas nuo akių iki ekrano? | 2. Kas yra 20-20-20 taisyklė? | 3. Ar taisyklinga poza padeda, jei dirbate 3 valandas be pertraukų?",,,,,,"Kartojimas iš ergonomikos",,none,,true,"Teacher_Plan: start questions","Keep callout short."
G9-S1-M01-002,"002_L - Privacy & account safety",9,Sauga,"Privatumas ir paskyrų sauga",3,comparison,password_strength,"Stiprus ar silpnas slaptažodis?","Ilgis svarbiau nei vienas gudrus simbolis",,Stiprus,"Bent 12 simbolių. | Kiekvienai paskyrai atskiras. | Nėra asmeninės informacijos. | Gali būti trys atsitiktiniai žodžiai.",Silpnas,"Vardas ar gimimo metai. | Tas pats visoms paskyroms. | Lengvai nuspėjamas modelis. | Tik viena pakeista raidė ar skaičius.","Ilgis svarbiau nei sudėtingumas","Atskiras kiekvienai paskyrai",comparison-cards,"Strong vs weak password comparison",true,"Teacher_Plan: password safety section","Show the contrast immediately."
G9-S1-M01-002,"002_L - Privacy & account safety",9,Sauga,"Privatumas ir paskyrų sauga",4,process,two_factor_auth,"Kaip veikia 2FA?","Vien slaptažodžio nepakanka",,"1. Įvedate slaptažodį","Tai yra tai, ką žinote. Vien šio žingsnio neužtenka saugiai prisijungti.","2. Patvirtinate antru būdu","Kodas telefone, programėlė ar saugos raktas patvirtina, kad prisijungiate jūs.","Ką žinote","Ką turite",diagram,"Two-step 2FA login flow",true,"Teacher_Plan: 2FA section","Use arrows or step chips, not paragraphs only."
G9-S1-M01-002,"002_L - Privacy & account safety",9,Sauga,"Privatumas ir paskyrų sauga",5,comparison,safe_vs_unsafe_data_sharing,"Saugus ir nesaugus elgesys","Asmeniniai duomenys ir privatumas",,Saugus elgesys,"Ribojate, kas mato profilį. | Nesiunčiate slaptažodžio žinute. | Dalijatės tik tuo, kas būtina.",Nesaugus elgesys,"Atvirai rodote gimimo datą ir mokyklą. | Perduodate prisijungimo duomenis kitam. | Skelbiate per daug atpažįstamos informacijos.","Ne viskas turi būti vieša",,comparison-cards,"Safe vs unsafe data-sharing cards",true,"Teacher_Plan: personal and sensitive data; task situations","Keep each bullet short and concrete."
G9-S1-M01-002,"002_L - Privacy & account safety",9,Sauga,"Privatumas ir paskyrų sauga",6,scenario,worked_example,"Pavyzdinė situacija","Kai prašoma atsiųsti slaptažodį","Žinutė: ""Siųsk savo slaptažodį, nes adminas turi patikrinti paskyrą.""","Kodėl tai nesaugu?","Prašoma perduoti prisijungimo duomenis. Tikros institucijos taip nesielgia.","Ką daryti?","Nesiųsti slaptažodžio. Tikrinti tik per oficialų kanalą. Pranešti suaugusiajam ar mokytojui.","Tiltas į kitą pamoką apie sukčiavimą",,scenario-card,"Suspicious password-request message card",true,"Teacher_Plan: task situation 3; topic boundary note","Keep the fake message visually distinct."
G9-S1-M01-002,"002_L - Privacy & account safety",9,Sauga,"Privatumas ir paskyrų sauga",7,questions,end_questions,"Pamokos pabaigos klausimai",,"1. Kodėl ""Vasara2024"" yra silpnas slaptažodis? | 2. Kaip reaguotumėte, jei draugas paprašytų jūsų slaptažodžio? | 3. Ar piktavalis prisijungs, jei žino slaptažodį, bet neturi jūsų telefono?",,,,,,"3 klausimai",,none,,true,"Teacher_Plan: end questions","Avoid cramped line breaks on question 3."
G9-S1-M01-003,"003_L - Online risks & safe response logic",9,Sauga,"Internetinės rizikos ir saugaus reagavimo logika",1,title,title,"Internetinės rizikos ir saugaus reagavimo logika",Sauga,,,,,,,,none,,true,"Lesson README: title; Teacher_Plan: title","Balance the long title cleanly."
G9-S1-M01-003,"003_L - Online risks & safe response logic",9,Sauga,"Internetinės rizikos ir saugaus reagavimo logika",2,questions,start_questions,"Pamokos pradžios klausimai",,"1. Kodėl ilgis svarbiau nei vien sudėtingumas slaptažodyje? | 2. Kaip 2FA saugo paskyrą, jei slaptažodis nutekėjo? | 3. Kuo asmeniniai duomenys skiriasi nuo jautrių?",,,,,,"Kartojimas iš privatumo temos",,none,,true,"Teacher_Plan: start questions","Keep all three questions visible."
G9-S1-M01-003,"003_L - Online risks & safe response logic",9,Sauga,"Internetinės rizikos ir saugaus reagavimo logika",3,comparison,phishing_signs,"Kaip atpažinti phishing?","6 tipiniai požymiai",,Įspėjamieji ženklai,"Skubos spaudimas. | Netikėtas siuntėjas. | Prašoma asmeninių duomenų.","Ką dar tikrinti?","Įtartina nuoroda. | Gramatikos klaidos. | Nelauktas priedas.","Nespausti vien tam, kad patikrintumėte",,comparison-cards,"Phishing signs board",true,"Teacher_Plan: phishing section; README: visual aid note","This slide must not become a text wall."
